Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_059182.1	35244	37253	LG1	plus	uncharacterized LOC116929222, transcript variant X3	LOC116929222	116929222	lncRNA	XR_006647770.1			
NC_059182.1	37699	40321	LG1	minus	uncharacterized protein LOC116917074 isoform X1	LOC116917074	116917074	protein-coding	XM_045174757.1	XP_045030692.1	397	
NC_059182.1	42072	46092	LG1	minus	uncharacterized gene	LOC123470923	123470923	pseudogene				
NC_059182.1	47947	51974	LG1	plus	uncharacterized protein LOC123473656	LOC123473656	123473656	protein-coding	XM_045174740.1	XP_045030675.1	931	
NC_059182.1	53476	55021	LG1	plus	uncharacterized protein LOC123475903	LOC123475903	123475903	protein-coding	XM_045179120.1	XP_045035055.1	401	
NC_059182.1	54682	59866	LG1	minus	LOW QUALITY PROTEIN: uncharacterized protein LOC116931546	LOC116931546	116931546	protein-coding	XM_032939148.2	XP_032795039.2	1027	
NC_059182.1	60317	62213	LG1	minus	LOW QUALITY PROTEIN: GTP-binding protein 128up	LOC116931564	116931564	protein-coding	XM_045174784.1	XP_045030719.1	367	
NC_059182.1	62584	66663	LG1	plus	LOW QUALITY PROTEIN: WD repeat and SOCS box-containing protein 1	LOC116934304	116934304	protein-coding	XM_045174754.1	XP_045030689.1	430	
NC_059182.1	66807	67775	LG1	minus	uncharacterized gene	LOC123473677	123473677	pseudogene				
NC_059182.1	68656	69520	LG1	plus	uncharacterized gene	LOC123473672	123473672	pseudogene				
NC_059182.1	69672	72339	LG1	minus	LOW QUALITY PROTEIN: zinc finger protein DZIP1L	LOC116934079	116934079	protein-coding	XM_032941705.2	XP_032797596.2	656	
NC_059182.1	72366	72951	LG1	plus	ragulator complex protein LAMTOR4	LOC116934102	116934102	protein-coding	XM_032941717.2	XP_032797608.2	93	
NC_059182.1	73108	74546	LG1	plus	malectin-A	LOC116934090	116934090	protein-coding	XM_032941712.2	XP_032797603.2	282	
NC_059182.1	75068	75819	LG1	minus	smoothelin-like protein 1	LOC123475905	123475905	protein-coding	XM_045179124.1	XP_045035059.1	145	
NC_059182.1	76345	99793	LG1	minus	LOW QUALITY PROTEIN: mucin-5AC	LOC116936108	116936108	protein-coding	XM_045174801.1	XP_045030736.1	4317	
NC_059182.1	100180	101921	LG1	plus	uncharacterized LOC116922237	LOC116922237	116922237	lncRNA	XR_006647799.1			
NC_059182.1	103217	108319	LG1	minus	LOW QUALITY PROTEIN: TWiK family of potassium channels protein 7	LOC116922221	116922221	protein-coding	XM_032928634.2	XP_032784525.2	538	
NC_059182.1	110537	111310	LG1	minus	uncharacterized LOC116922210	LOC116922210	116922210	lncRNA	XR_004393929.2			
NC_059182.1	112908	114527	LG1	plus	F-box-like/WD repeat-containing protein TBL1XR1	LOC116922193	116922193	protein-coding	XM_045179132.1	XP_045035067.1	209	
NC_059182.1	114677	116323	LG1	minus	voltage-gated hydrogen channel 1	LOC116922176	116922176	protein-coding	XM_032928608.2	XP_032784499.1	289	
NC_059182.1	116463	117863	LG1	minus	ATP synthase subunit b, mitochondrial	LOC116922184	116922184	protein-coding	XM_032928620.2	XP_032784511.1	256	
NC_059182.1	118808	124463	LG1	plus	protein nervous wreck	LOC116922122	116922122	protein-coding	XM_032928553.2	XP_032784444.2	981	
NC_059182.1	125431	130820	LG1	plus	carnitine O-palmitoyltransferase 1, liver isoform isoform X1	LOC116922132	116922132	protein-coding	XM_032928564.2	XP_032784455.2	766	
NC_059182.1	136898	142142	LG1	plus	uncharacterized protein LOC116922114	LOC116922114	116922114	protein-coding	XM_032928541.2	XP_032784432.2	1124	
NC_059182.1	142788	146153	LG1	plus	uncharacterized LOC116922095, transcript variant X7	LOC116922095	116922095	lncRNA	XR_004393857.2			
NC_059182.1	146490	152977	LG1	minus	beta-1,3-galactosyltransferase 5 isoform X1	LOC116922039	116922039	protein-coding	XM_032928439.2	XP_032784330.2	387	
NC_059182.1	152899	154178	LG1	minus	uncharacterized LOC116922082	LOC116922082	116922082	misc_RNA	XR_006647863.1			
NC_059182.1	155642	158138	LG1	plus	uncharacterized protein LOC123466382	LOC123466382	123466382	protein-coding	XM_045174887.1	XP_045030822.1	371	
NC_059182.1	163935	164658	LG1	plus	uncharacterized LOC116922022	LOC116922022	116922022	misc_RNA	XR_006647866.1			
NC_059182.1	164608	165811	LG1	minus	uncharacterized LOC123473686	LOC123473686	123473686	lncRNA	XR_006647864.1			
NC_059182.1	170125	171596	LG1	plus	uncharacterized protein LOC116928309	LOC116928309	116928309	protein-coding	XM_045179327.1	XP_045035262.1	168	
NC_059182.1	172497	174284	LG1	plus	uncharacterized LOC116936678, transcript variant X2	LOC116936678	116936678	lncRNA	XR_006648295.1			
NC_059182.1	175585	176422	LG1	minus	uncharacterized protein LOC116936098	LOC116936098	116936098	protein-coding	XM_032943304.2	XP_032799195.2	182	
NC_059182.1	190459	192765	LG1	minus	uncharacterized protein LOC116921404	LOC116921404	116921404	protein-coding	XM_032927694.2	XP_032783585.2	487	
NC_059182.1	197146	204766	LG1	plus	uncharacterized protein LOC116921398	LOC116921398	116921398	protein-coding	XM_045174918.1	XP_045030853.1	1083	
NC_059182.1	205567	211364	LG1	plus	uncharacterized protein LOC116921395 isoform X1	LOC116921395	116921395	protein-coding	XM_045175008.1	XP_045030943.1	999	
NC_059182.1	211690	212591	LG1	minus	shematrin-like protein 1	LOC123473887	123473887	protein-coding	XM_045175458.1	XP_045031393.1	89	
NC_059182.1	213105	216837	LG1	plus	uncharacterized LOC116921396, transcript variant X2	LOC116921396	116921396	lncRNA	XR_006648304.1			
NC_059182.1	246957	249523	LG1	minus	shematrin-like protein 1	LOC116921417	116921417	protein-coding	XM_032927097.2	XP_032782988.2	108	
NC_059182.1	252148	255589	LG1	minus	uncharacterized LOC116921031	LOC116921031	116921031	lncRNA	XR_006648260.1			
NC_059182.1	257083	258018	LG1	minus	neuropeptide-like protein 30	LOC116920872	116920872	protein-coding	XM_032927030.2	XP_032782921.1	117	
NC_059182.1	258063	264632	LG1	plus	uncharacterized LOC116921685	LOC116921685	116921685	lncRNA	XR_004393510.2			
NC_059182.1	268182	270262	LG1	minus	LOW QUALITY PROTEIN: translation initiation factor IF-2	LOC116919162	116919162	protein-coding	XM_045175463.1	XP_045031398.1	495	
NC_059182.1	271073	272981	LG1	minus	uncharacterized protein LOC116919265	LOC116919265	116919265	protein-coding	XM_032925231.2	XP_032781122.2	236	
NC_059182.1	274568	281285	LG1	plus	uncharacterized LOC116921613	LOC116921613	116921613	lncRNA	XR_004393455.2			
NC_059182.1	282297	284238	LG1	plus	serine/threonine-protein kinase/endoribonuclease IRE1-like	LOC123473822	123473822	protein-coding	XM_045175243.1	XP_045031178.1	314	
NC_059182.1	284217	286618	LG1	plus	serine/threonine-protein kinase ATG1b-like	LOC123476136	123476136	protein-coding	XM_045179402.1	XP_045035337.1	411	
NC_059182.1	287258	290147	LG1	plus	uncharacterized protein LOC116927490	LOC116927490	116927490	protein-coding	XM_032934538.2	XP_032790429.2	832	
NC_059182.1	290497	292833	LG1	plus	uncharacterized protein LOC116927727	LOC116927727	116927727	protein-coding	XM_032934772.2	XP_032790663.2	526	
NC_059182.1	304456	306635	LG1	plus	glycine and tyrosine-rich protein-like	LOC123473864	123473864	protein-coding	XM_045175429.1	XP_045031364.1	136	
NC_059182.1	306877	307928	LG1	minus	uncharacterized protein LOC116936537	LOC116936537	116936537	protein-coding	XM_045179405.1	XP_045035340.1	338	
NC_059182.1	311720	314461	LG1	minus	uncharacterized gene	LOC123473827	123473827	pseudogene				
NC_059182.1	315734	316503	LG1	plus	uncharacterized LOC123466523	LOC123466523	123466523	lncRNA	XR_006648258.1			
NC_059182.1	317826	344506	LG1	plus	uncharacterized protein LOC116919760 isoform X1	LOC116919760	116919760	protein-coding	XM_045174941.1	XP_045030876.1	1044	
NC_059182.1	325802	326578	LG1	plus	uncharacterized LOC116936544	LOC116936544	116936544	lncRNA	XR_006648259.1			
NC_059182.1	336798	337767	LG1	minus	uncharacterized LOC123473898, transcript variant X4	LOC123473898	123473898	lncRNA	XR_006648300.1			
NC_059182.1	344873	346771	LG1	minus	meiosis-specific nuclear structural protein 1	LOC116919458	116919458	protein-coding	XM_032925459.2	XP_032781350.2	417	
NC_059182.1	347087	348969	LG1	plus	translocating chain-associated membrane protein 1	LOC116936131	116936131	protein-coding	XM_045175183.1	XP_045031118.1	378	
NC_059182.1	349100	350203	LG1	minus	glycine-rich cell wall structural protein	LOC116936132	116936132	protein-coding	XM_032943328.2	XP_032799219.2	246	
NC_059182.1	351661	352603	LG1	minus	cuticle protein 6.4	LOC116920886	116920886	protein-coding	XM_032927050.2	XP_032782941.2	115	
NC_059182.1	353788	355433	LG1	minus	postacrosomal sheath WW domain-binding protein	LOC116933865	116933865	protein-coding	XM_045175389.1	XP_045031324.1	157	
NC_059182.1	355580	357597	LG1	minus	3-oxoacyl-[acyl-carrier-protein] reductase FabG	LOC116920274	116920274	protein-coding	XM_032926447.2	XP_032782338.1	258	
NC_059182.1	357816	358646	LG1	minus	uncharacterized protein LOC123466522	LOC123466522	123466522	protein-coding	XM_045175383.1	XP_045031318.1	166	
NC_059182.1	358790	359671	LG1	plus	uncharacterized LOC116920774	LOC116920774	116920774	lncRNA	XR_006648368.1			
NC_059182.1	360052	360840	LG1	plus	metacaspase-1	LOC116920861	116920861	protein-coding	XM_032927021.2	XP_032782912.2	124	
NC_059182.1	361030	362059	LG1	plus	uncharacterized protein LOC116920436	LOC116920436	116920436	protein-coding	XM_045179420.1	XP_045035355.1	225	
NC_059182.1	362539	363440	LG1	plus	glycine-rich cell wall structural protein	LOC116920817	116920817	protein-coding	XM_032926954.2	XP_032782845.1	134	
NC_059182.1	363748	393527	LG1	plus	uncharacterized protein LOC116918436 isoform X1	LOC116918436	116918436	protein-coding	XM_045174907.1	XP_045030842.1	1084	
NC_059182.1	365303	366486	LG1	plus	serine/threonine-protein kinase/endoribonuclease IRE1-like	LOC123473815	123473815	protein-coding	XM_045175202.1	XP_045031137.1	333	
NC_059182.1	367372	370449	LG1	plus	F-box-like/WD repeat-containing protein TBL1XR1-A	LOC116936134	116936134	protein-coding	XM_045175172.1	XP_045031107.1	383	
NC_059182.1	370646	374573	LG1	plus	lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase	LOC116936133	116936133	protein-coding	XM_045175228.1	XP_045031163.1	325	
NC_059182.1	377401	385034	LG1	minus	uncharacterized LOC116921217, transcript variant X19	LOC116921217	116921217	lncRNA	XR_006648269.1			
NC_059182.1	378931	382159	LG1	plus	flocculation protein FLO11-like isoform X1	LOC123473727	123473727	protein-coding	XM_045175040.1	XP_045030975.1	641	
NC_059182.1	385261	387081	LG1	minus	uncharacterized protein LOC116920983	LOC116920983	116920983	protein-coding	XM_045175417.1	XP_045031352.1	146	
NC_059182.1	394228	399305	LG1	minus	DNA topoisomerase 2-binding protein 1 isoform X2	LOC116918549	116918549	protein-coding	XM_032924267.2	XP_032780158.2	969	
NC_059182.1	399423	400167	LG1	minus	uncharacterized protein LOC116920578	LOC116920578	116920578	protein-coding	XM_032926725.2	XP_032782616.2	170	
NC_059182.1	401292	404197	LG1	plus	G8 domain-containing protein DDB_G0286311	LOC116918927	116918927	protein-coding	XM_032924724.2	XP_032780615.2	662	
NC_059182.1	404198	407687	LG1	minus	uncharacterized protein LOC123473726	LOC123473726	123473726	protein-coding	XM_045175033.1	XP_045030968.1	904	
NC_059182.1	409428	412384	LG1	minus	uncharacterized protein LOC123473797 isoform X1	LOC123473797	123473797	protein-coding	XM_045175150.1	XP_045031085.1	385	
NC_059182.1	412436	429056	LG1	minus	uncharacterized protein LOC116918476 isoform X1	LOC116918476	116918476	protein-coding	XM_045174969.1	XP_045030904.1	1035	
NC_059182.1	416453	417187	LG1	plus	uncharacterized LOC116921667	LOC116921667	116921667	lncRNA	XR_004393493.2			
NC_059182.1	417386	419374	LG1	minus	cyclic nucleotide-gated cation channel beta-1-like	LOC123473780	123473780	protein-coding	XM_045175112.1	XP_045031047.1	498	
NC_059182.1	419175	419701	LG1	plus	uncharacterized LOC123473904	LOC123473904	123473904	lncRNA	XR_006648359.1			
NC_059182.1	419847	420702	LG1	minus	uncharacterized protein LOC123473858	LOC123473858	123473858	protein-coding	XM_045175420.1	XP_045031355.1	143	
NC_059182.1	421640	461218	LG1	minus	uncharacterized protein LOC116920196 isoform X1	LOC116920196	116920196	protein-coding	XM_045174920.1	XP_045030855.1	1065	
NC_059182.1	429279	431620	LG1	minus	cyclic nucleotide-gated cation channel beta-1-like	LOC123473782	123473782	protein-coding	XM_045175118.1	XP_045031053.1	498	
NC_059182.1	449097	450935	LG1	minus	uncharacterized protein LOC123473840	LOC123473840	123473840	protein-coding	XM_045175328.1	XP_045031263.1	231	
NC_059182.1	450995	451766	LG1	plus	uncharacterized LOC123473908	LOC123473908	123473908	lncRNA	XR_006648360.1			
NC_059182.1	453419	455580	LG1	minus	uncharacterized protein LOC123473837	LOC123473837	123473837	protein-coding	XM_045175323.1	XP_045031258.1	232	
NC_059182.1	461408	478487	LG1	minus	serine-rich adhesin for platelets isoform X1	LOC116918359	116918359	protein-coding	XM_032924057.2	XP_032779948.2	1410	
NC_059182.1	479000	481667	LG1	plus	uncharacterized protein LOC116918977 isoform X1	LOC116918977	116918977	protein-coding	XM_032924802.2	XP_032780693.2	590	
NC_059182.1	481687	482339	LG1	minus	uncharacterized LOC123473909	LOC123473909	123473909	lncRNA	XR_006648361.1			
NC_059182.1	482786	520982	LG1	plus	uncharacterized protein LOC116936145 isoform X1	LOC116936145	116936145	protein-coding	XM_045174997.1	XP_045030932.1	1033	
NC_059182.1	483108	575584	LG1	plus	uncharacterized protein LOC116920420	LOC116920420	116920420	protein-coding	XM_045174899.1	XP_045030834.1	1168	
NC_059182.1	489466	491260	LG1	minus	stress response protein NST1-like	LOC116920857	116920857	protein-coding	XM_045175400.1	XP_045031335.1	150	
NC_059182.1	493032	495044	LG1	plus	uncharacterized protein LOC123473764	LOC123473764	123473764	protein-coding	XM_045175083.1	XP_045031018.1	515	
NC_059182.1	495767	504509	LG1	plus	uncharacterized protein LOC116918682	LOC116918682	116918682	protein-coding	XM_045175014.1	XP_045030949.1	993	
NC_059182.1	505370	508964	LG1	minus	MAGUK p55 subfamily member 7 isoform X1	LOC116934990	116934990	protein-coding	XM_045175087.1	XP_045031022.1	555	
NC_059182.1	509001	509343	LG1	plus	uncharacterized LOC123473901	LOC123473901	123473901	lncRNA	XR_006648349.1			
NC_059182.1	513165	513789	LG1	minus	uncharacterized LOC123473914	LOC123473914	123473914	lncRNA	XR_006648372.1			
NC_059182.1	520223	520940	LG1	minus	meiosis-specific nuclear structural protein 1-like	LOC123473845	123473845	protein-coding	XM_045175376.1	XP_045031311.1	173	
NC_059182.1	523413	524642	LG1	plus	serine/threonine-protein kinase/endoribonuclease ire-1	LOC116933425	116933425	protein-coding	XM_045175287.1	XP_045031222.1	269	
NC_059182.1	528167	529866	LG1	plus	uncharacterized protein LOC123473805	LOC123473805	123473805	protein-coding	XM_045175165.1	XP_045031100.1	384	
NC_059182.1	530574	532252	LG1	minus	uncharacterized protein LOC123473823	LOC123473823	123473823	protein-coding	XM_045175248.1	XP_045031183.1	313	
NC_059182.1	543455	545278	LG1	plus	uncharacterized protein LOC116935393	LOC116935393	116935393	protein-coding	XM_045175161.1	XP_045031096.1	384	
NC_059182.1	545076	545846	LG1	minus	uncharacterized LOC123473897, transcript variant X2	LOC123473897	123473897	lncRNA	XR_006648297.1			
NC_059182.1	549867	565390	LG1	plus	uncharacterized protein LOC123473819 isoform X1	LOC123473819	123473819	protein-coding	XM_045175220.1	XP_045031155.1	325	
NC_059182.1	554131	566759	LG1	minus	MAGUK p55 subfamily member 7-like isoform X1	LOC123473814	123473814	protein-coding	XM_045175192.1	XP_045031127.1	357	
NC_059182.1	557674	558588	LG1	plus	uncharacterized protein LOC123473833	LOC123473833	123473833	protein-coding	XM_045175303.1	XP_045031238.1	245	
NC_059182.1	567853	568452	LG1	plus	uncharacterized protein LOC123473856	LOC123473856	123473856	protein-coding	XM_045175408.1	XP_045031343.1	149	
NC_059182.1	575883	576734	LG1	minus	trichohyalin-like	LOC123476710	123476710	protein-coding	XM_045179421.1	XP_045035356.1	222	
NC_059182.1	576923	580736	LG1	minus	MAGUK p55 subfamily member 7 isoform X1	LOC116918870	116918870	protein-coding	XM_045175056.1	XP_045030991.1	594	
NC_059182.1	580893	582597	LG1	plus	uncharacterized RNA-binding protein C365.04c	LOC116920222	116920222	protein-coding	XM_045175258.1	XP_045031193.1	280	
NC_059182.1	582291	583105	LG1	minus	28S ribosomal protein S14, mitochondrial	LOC116920742	116920742	protein-coding	XM_032926845.2	XP_032782736.1	142	
NC_059182.1	583410	586509	LG1	plus	elongation factor 1-alpha	LOC116933863	116933863	protein-coding	XM_045175140.1	XP_045031075.1	463	
NC_059182.1	586220	587516	LG1	minus	heme transporter hrg-1	LOC116920700	116920700	protein-coding	XM_032926796.2	XP_032782687.2	155	
NC_059182.1	590127	592256	LG1	plus	uncharacterized protein LOC116919152	LOC116919152	116919152	protein-coding	XM_045175122.1	XP_045031057.1	490	
NC_059182.1	592407	595740	LG1	plus	eukaryotic translation initiation factor 4 gamma 3	LOC116918624	116918624	protein-coding	XM_045179422.1	XP_045035357.1	531	
NC_059182.1	596915	598331	LG1	minus	LOW QUALITY PROTEIN: bis(5'-adenosyl)-triphosphatase	LOC116920188	116920188	protein-coding	XM_032926314.2	XP_032782205.2	239	
NC_059182.1	601542	603677	LG1	plus	uncharacterized LOC116934061	LOC116934061	116934061	lncRNA	XR_006648313.1			
NC_059182.1	605053	607194	LG1	plus	CD63 antigen	LOC116934064	116934064	protein-coding	XM_032941694.2	XP_032797585.2	243	
NC_059182.1	607220	609143	LG1	minus	ubiquitin-conjugating enzyme E2 E1	LOC116934063	116934063	protein-coding	XM_045175341.1	XP_045031276.1	215	
NC_059182.1	609270	611538	LG1	plus	cyclin-dependent kinase 10	LOC116919781	116919781	protein-coding	XM_032925813.2	XP_032781704.1	380	
NC_059182.1	611446	612136	LG1	minus	39S ribosomal protein L42, mitochondrial	LOC116920783	116920783	protein-coding	XM_032926895.2	XP_032782786.2	138	
NC_059182.1	612209	613581	LG1	plus	solute carrier family 66 member 3	LOC116920354	116920354	protein-coding	XM_032926575.2	XP_032782466.2	212	
NC_059182.1	613316	616020	LG1	minus	thioredoxin domain-containing protein 3 homolog isoform X1	LOC116919820	116919820	protein-coding	XM_032925894.2	XP_032781785.2	358	
NC_059182.1	616262	617951	LG1	plus	pleckstrin homology domain-containing family A member 3	LOC116920362	116920362	protein-coding	XM_032926586.2	XP_032782477.1	221	
NC_059182.1	618096	620781	LG1	plus	thioredoxin domain-containing protein 3 isoform X1	LOC116934060	116934060	protein-coding	XM_032941690.2	XP_032797581.2	337	
NC_059182.1	624332	625934	LG1	plus	uncharacterized LOC116921472	LOC116921472	116921472	lncRNA	XR_004393307.2			
NC_059182.1	626554	641391	LG1	minus	uncharacterized protein LOC116919181 isoform X1	LOC116919181	116919181	protein-coding	XM_045175570.1	XP_045031505.1	487	
NC_059182.1	633842	680218	LG1	minus	MAP kinase-interacting serine/threonine-protein kinase mnk-1-like isoform X1	LOC116918501	116918501	protein-coding	XM_045175554.1	XP_045031489.1	574	
NC_059182.1	639980	641870	LG1	minus	uncharacterized protein LOC123473949	LOC123473949	123473949	protein-coding	XM_045175610.1	XP_045031545.1	157	
NC_059182.1	641738	643771	LG1	plus	uncharacterized protein LOC116919476	LOC116919476	116919476	protein-coding	XM_032925473.2	XP_032781364.2	410	
NC_059182.1	643501	653069	LG1	minus	uncharacterized protein LOC116918518 isoform X1	LOC116918518	116918518	protein-coding	XM_032924240.2	XP_032780131.2	1001	
NC_059182.1	653689	656052	LG1	minus	uncharacterized protein LOC123473927	LOC123473927	123473927	protein-coding	XM_045175565.1	XP_045031500.1	543	
NC_059182.1	656296	660214	LG1	minus	LOW QUALITY PROTEIN: puromycin-sensitive aminopeptidase	LOC116918542	116918542	protein-coding	XM_045175617.1	XP_045031552.1	969	
NC_059182.1	660241	664149	LG1	minus	phosphoenolpyruvate carboxykinase, cytosolic [GTP]	LOC116918945	116918945	protein-coding	XM_032924754.2	XP_032780645.2	622	
NC_059182.1	664464	666609	LG1	plus	uncharacterized protein LOC116919081	LOC116919081	116919081	protein-coding	XM_032924961.2	XP_032780852.2	449	
NC_059182.1	666532	671164	LG1	minus	uncharacterized LOC116929504, transcript variant X5	LOC116929504	116929504	lncRNA	XR_006648492.1			
NC_059182.1	673483	677324	LG1	minus	uncharacterized protein LOC123473945	LOC123473945	123473945	protein-coding	XM_045175602.1	XP_045031537.1	285	
NC_059182.1	681009	683030	LG1	minus	uncharacterized LOC116921316, transcript variant X13	LOC116921316	116921316	lncRNA	XR_004393180.2			
NC_059182.1	685891	687753	LG1	plus	uncharacterized LOC123474039, transcript variant X2	LOC123474039	123474039	lncRNA	XR_006648662.1			
NC_059182.1	689085	689660	LG1	plus	uncharacterized LOC123474042	LOC123474042	123474042	lncRNA	XR_006648664.1			
NC_059182.1	692971	694231	LG1	minus	uncharacterized protein LOC116920596	LOC116920596	116920596	protein-coding	XM_032926737.2	XP_032782628.2	167	
NC_059182.1	695612	696814	LG1	minus	uncharacterized protein LOC116920709	LOC116920709	116920709	protein-coding	XM_032926806.2	XP_032782697.1	150	
NC_059182.1	699351	703309	LG1	minus	uncharacterized protein LOC116918509	LOC116918509	116918509	protein-coding	XM_032924232.2	XP_032780123.2	1005	
NC_059182.1	704657	705625	LG1	plus	uncharacterized protein LOC116920397	LOC116920397	116920397	protein-coding	XM_032926620.2	XP_032782511.2	205	
NC_059182.1	706470	707447	LG1	minus	uncharacterized LOC116921577	LOC116921577	116921577	lncRNA	XR_004393404.2			
NC_059182.1	708848	711491	LG1	plus	uncharacterized protein LOC123473975	LOC123473975	123473975	protein-coding	XM_045175727.1	XP_045031662.1	536	
NC_059182.1	712248	719582	LG1	plus	uncharacterized protein LOC123473961 isoform X1	LOC123473961	123473961	protein-coding	XM_045175650.1	XP_045031585.1	1061	
NC_059182.1	712921	775097	LG1	plus	uncharacterized protein LOC116933765 isoform X1	LOC116933765	116933765	protein-coding	XM_045175678.1	XP_045031613.1	1023	
NC_059182.1	730571	733628	LG1	minus	uncharacterized LOC123474000, transcript variant X3	LOC123474000	123474000	lncRNA	XR_006648617.1			
NC_059182.1	734241	736428	LG1	minus	uncharacterized LOC116921119, transcript variant X5	LOC116921119	116921119	lncRNA	XR_006648629.1			
NC_059182.1	742863	745375	LG1	minus	uncharacterized protein LOC116936288 isoform X1	LOC116936288	116936288	protein-coding	XM_045175737.1	XP_045031672.1	201	
NC_059182.1	745509	753818	LG1	minus	uncharacterized protein LOC116918324	LOC116918324	116918324	protein-coding	XM_045175627.1	XP_045031562.1	1402	
NC_059182.1	754900	756147	LG1	minus	uncharacterized protein LOC116920004	LOC116920004	116920004	protein-coding	XM_032926066.2	XP_032781957.2	231	
NC_059182.1	757261	763206	LG1	minus	uncharacterized protein LOC116936163	LOC116936163	116936163	protein-coding	XM_045175642.1	XP_045031577.1	1401	
